"ID","Pillar","Title","Primary Keyword","Secondary Keywords","Funnel Stage","Item Type","Audience","Language","Roadmap-Dependent","Description"
"11","BBL technical","BENG en thermische schil controleren vanuit het IFC-model: Rc-waarden en kozijnen per element","beng eisen controleren","thermische isolatie bbl; rc waarde toetsing; beng bim model; kozijn isolatie eisen","MoFu","Problem->Solution","BIM-manager","NL","N","BENG- en isolatie-eisen verlangen dat dak, vloer, gevel en kozijnen de juiste thermische prestatie halen, maar die properties zitten verspreid in het model en worden zelden systematisch gecontroleerd. BimDossier draait de duurzaamheidsregels (dak-, vloer-, gevel- en raamisolatie) uit de compliance-engine over de IFC-properties en signaleert elementen die onder de eis vallen. De BIM-manager ziet zo of het aangeleverde model uberhaupt toetsbaar is op thermische data."
"12","BCF collaboration","Federated Model Review in Practice: Coordinating Architecture, Structure and MEP Without Losing Track of Issues","federated model review workflow","federated bim model; multi discipline model review; ifc model coordination; openbim federated viewer","MoFu","How-to","BIM-coordinator","EN","N","Reviewing arch, structure and MEP together means juggling multiple IFC files and remembering which discipline owns each problem. BimDossier loads federated multi-discipline models into one scene with storey isolation, display modes and section planes, and lets you drop a finding pin on any element across any model. The how-to walks a review session: isolate a storey, section-cut the slab, pin the conflict to the responsible discipline's element, assign it."
"13","Wkb filings","Wkb-deadlines voor gevolgklasse 1: bouwmelding, informatieplicht en gereedmelding op een rij","wkb deadlines gevolgklasse 1","informatieplicht 2 werkdagen; gereedmelding 10 werkdagen; wkb termijnen overzicht","MoFu","Educational","Aannemer","NL","N","Een gevolgklasse 1-project kent drie harde meldmomenten met verschillende termijnen - bouwmelding (4 wk vooraf), informatieplicht (2 werkdagen voor start) en gereedmelding (10 werkdagen na oplevering) - en het door elkaar halen daarvan leidt tot handhaving of vertraging. BimDossier zet alle drie de termijnen automatisch om in concrete kalenderdata via de deadline tracker met werkdag-/feestdaglogica en bewaakt ze met gefaseerde e-mailreminders, zodat het hele meldritme van het project in één tijdlijn staat."
"14","PDF<->IFC docs","PDF-tekeningen naast je IFC-model: waar 2D en 3D elk hun waarde toevoegen op de bouwplaats","2d tekeningen versus bim","pdf tekeningen op de bouwplaats; ifc model uitvoering; 2d 3d bouw documenten","MoFu","Comparison","Werkvoorbereider","NL","N","Op de meeste Nederlandse bouwplaatsen leeft het werk nog op PDF-tekeningen terwijl de coordinatie in een IFC-model gebeurt, waardoor uitvoerders twee gescheiden waarheden bijhouden. Dit artikel laat per fase zien wanneer 2D (snelle maatvoering, detaillering, plotten) en wanneer 3D (clash-overzicht, ruimtelijk inzicht) wint. BimDossier lost de splitsing op door beide in een omgeving te tonen: de 3D IFC-viewer (ThatOpen + Three.js) met floor-plan 2D en split view, zodat de werkvoorbereider niet hoeft te kiezen tussen tekening en model."
"15","Ops & digital","Wat faalkosten in de bouw écht kosten — en hoe digitale kwaliteitsborging ze terugdringt","faalkosten bouw verminderen","kosten van herstelwerk bouw; faalkosten percentage bouw; rework kosten reduceren; kwaliteitsborging faalkosten","ToFu","Educational","Aannemer","NL","N","Faalkosten lopen in de Nederlandse bouw op tot 10-15% van de omzet, grotendeels door herstelwerk dat te laat wordt ontdekt en bevindingen die niet traceerbaar zijn naar een element of verantwoordelijke. Dit artikel legt de kostenstructuur uit en laat zien hoe BimDossier herstelkosten verlaagt door bevindingen met severity, toegewezen eigenaar en foto-bewijs vast te pinnen aan een IFC-element (global_id) in de 3D-viewer, zodat een gebrek meteen wordt gelokaliseerd in plaats van weken later. Specifieke feature: findings/bevindingen-management met IFC-element-anchoring."
"16","BBL technical","Automated building-code compliance checking on IFC models: how rule packs turn the Dutch BBL into pass/fail results","automated code compliance checking ifc","model based code checking; rule based ifc validation; openbim compliance check; building code rule packs","MoFu","Educational","BIM-manager","EN","N","Teams running openBIM coordination know clash detection but rarely have a path from federated models to actual building-code verdicts. BimDossier expresses code requirements as jurisdiction-scoped rule packs that its compliance engine evaluates against IFC properties and geometry, returning violations per element rather than a generic report. The piece uses the Dutch BBL (fire, structural, thermal, ventilation, usability) as a concrete worked example of model-based code checking that generalizes to other openBIM jurisdictions."
"17","BIM for QA","De viewer als single source of truth: storey-isolatie en sectievlakken inzetten voor Wkb-inspecties","3d ifc viewer inspectie","storey isolatie wkb inspectie; sectievlak ifc kwaliteitscontrole; modelgebaseerde inspectie aannemer; floor plan 2d split view bim","MoFu","How-to","Kwaliteitsborger","NL","N","De uitdaging: inspecteurs lopen de bouw na met losse tekeningen en zien niet snel welk verborgen bouwdeel (constructie, brandscheiding, installatie) achter een afwerking zit, waardoor borgingsmomenten oppervlakkig blijven. BimDossier laat je via de 3D-IFC-viewer een verdieping isoleren, sectievlakken zetten en wisselen tussen floor-plan 2D en split view, met bevindingspins op het exacte element. Deze how-to laat zien hoe je een borgingsmoment voorbereidt en uitvoert door eerst in het model te navigeren en bevindingen direct op het IFC-element vast te leggen, ook mobiel op de bouwplaats via de embedded viewer."
"18","Quantity takeoff","Bouwstoffenlijst en quantity takeoff koppelen aan je Wkb-dossier: van hoeveelheid naar borging","hoeveelheden wkb dossier","bim takeoff wkb; hoeveelheden borgingsplan; model data dossier bevoegd gezag; kwaliteitsborging hoeveelheden","MoFu","Thought-leadership","Kwaliteitsborger","NL","Y","Kwaliteitsborgers en aannemers zien hoeveelheden en dossiervorming als twee aparte werelden, terwijl dezelfde IFC-elementdata beide kan voeden: een element met zijn quantities en eigenschappen is ook het object waaraan een borgingsmoment of bevinding hangt. BimDossier extraheert per element de canonieke eigenschappen die de geautomatiseerde BBL/Wkb-compliancecheck gebruikt, en verankert bevindingen aan datzelfde IFC-element via global_id in de viewer, zodat modeldata, hoeveelheden en borging op hetzelfde object samenkomen. De features: de property-extractie die de compliance-engine voedt plus element-verankerde bevindingen."
"19","openBIM literacy","What Is BCF? How the BIM Collaboration Format Turns Model Clashes Into Trackable Issues","what is BCF BIM collaboration format","BCF 2.1 vs 3.0; BCF vs IFC; BIM issue tracking format; openBIM coordination BCF","ToFu","Educational","BIM-coordinator","EN","N","Coordination issues get lost in email threads and screenshots because clash and quality comments are not attached to the model element they concern, so context evaporates between authoring tools. This guide explains BCF (with the camera viewpoint, element references and comment thread it carries) and the difference between BCF 2.1 and 3.0. BimDossier already anchors findings to a specific IFC element via its global_id with finding pins in the 3D viewer, and BCF 2.1/3.0 import/export is being wired up (roadmap), so issues raised in any openBIM tool will round-trip into the same element-anchored, field-ready workflow."
"20","Dossier & handover","Verklaring kwaliteitsborger: wat het is, wie hem afgeeft en hoe je hem op tijd binnenhaalt","verklaring kwaliteitsborger","verklaring kwaliteitsborger Wkb; gereedmelding verklaring; kwaliteitsborger dossier; dossier bevoegd gezag verklaring","MoFu","Problem->Solution","Kwaliteitsborger","NL","N","Zonder de verklaring van de kwaliteitsborger kan de aannemer geen geldige gereedmelding indienen, maar de borger geeft die pas af als alle borgingsmomenten en bevindingen aantoonbaar zijn afgehandeld. Dit artikel beschrijft het knelpunt en laat zien hoe BimDossier de borger inzicht geeft via de bevindingen-lifecycle (severity, toewijzing, fotobewijs, anchored aan het IFC-element) en de auto-gegenereerde verklaring-kwaliteitsborger-PDF, zodat de verklaring op feiten rust in plaats van vertrouwen."
"21","BBL technical","Ventilatie en daglicht uit het model toetsen: de gezondheids-eisen van het BBL in BIM","ventilatie eisen bouwbesluit","daglicht eisen bbl; spuiventilatie; gezondheid bouwbesluit eisen; ventilatie bim toetsing","MoFu","Educational","Architect","NL","N","De gezondheidsparagraaf van het BBL stelt eisen aan ventilatiecapaciteit, spuiventilatie en daglichttoetreding per verblijfsruimte, wat normaal een aparte berekening per ruimte vergt. BimDossier bevat gezondheidsregels (ventilatie, spuiventilatie, daglicht, verbrandingslucht) die ruimtes en openingen uit het IFC-model toetsen en afwijkende ruimtes markeren. De architect kan vroeg in uitvoering zien welke verblijfsruimtes niet voldoen voordat het een opleverprobleem wordt."
"22","Quantity takeoff","Property sets explained: Pset_ vs Qto_ and what a BIM model must carry before takeoff","ifc property sets explained","pset vs qto; ifc base quantities; property set requirements bim; ids information delivery specification","MoFu","Educational","BIM-manager","EN","N","Estimators and BIM coordinators struggle to agree on what data must live in the model before quantities can be pulled, conflating descriptive Pset_ properties with Qto_ base quantities and never formalising it. This post explains the split and how an IDS-style requirement (vision/roadmap) keeps exports compliant. BimDossier already parses both IfcPropertySet (HasProperties) and IfcElementQuantity (Quantities) per element and exposes them in the inspector, so teams can audit which sets a delivered IFC actually contains; the feature is the property-extraction pipeline feeding the 3D viewer's properties panel."
"23","Wkb filings","Wie is de kwaliteitsborger en wat verwacht de aannemer onder de Wkb?","kwaliteitsborger wkb","rol kwaliteitsborger; kwaliteitsborger aannemer samenwerking; instrument instrumentaanbieder wkb","ToFu","Educational","Aannemer","NL","N","Veel aannemers begrijpen nog niet scherp waar de kwaliteitsborger over gaat, welk instrument/instrumentaanbieder erbij hoort en welke bewijslast zij moeten aanleveren - wat leidt tot wrijving en onvolledige dossiers. BimDossier geeft aannemer en kwaliteitsborger één gedeelde projectomgeving met rolgebaseerde toegang (editor/viewer/inspector), gedeelde bevindingen met foto-bewijs en een gezamenlijke dossier-checklist, zodat beide partijen op hetzelfde borgingsplan werken in plaats van losse e-mails."
"24","PDF<->IFC docs","Why your 2D PDFs and IFC model keep telling different stories — and how openBIM closes the gap","2d drawings vs bim model","openbim document workflow; ifc vs pdf coordination; bridging 2d drawings and bim","MoFu","Educational","BIM-manager","EN","N","Most projects run a 2D PDF track for fabrication and a 3D IFC track for coordination, and the two drift apart the moment a revision lands in only one. This piece explains why the split exists (legacy detailing, plotting habits, sub-contractor tooling) and how an openBIM-native workflow keeps them aligned. BimDossier shows IFC (ISO 16739) federated multi-discipline models alongside a derived 2D floor-plan and split view, so the drawing and the model stay one source of truth instead of two."
"25","Dossier & handover","Van borgingsplan naar opleverdossier: één doorlopende Wkb-bewijsketen","borgingsplan opleverdossier","borgingsplan naar dossier; borgingsmoment bewijs; Wkb bewijsketen; risicobeoordeling dossier","MoFu","Educational","Kwaliteitsborger","NL","N","Het borgingsplan, de risicobeoordeling en het uiteindelijke opleverdossier worden vaak als losse documenten behandeld, waardoor bij oplevering niet aantoonbaar is dat elk geïdentificeerd risico daadwerkelijk is geborgd. Dit artikel laat de doorlopende keten zien en hoe BimDossier die ondersteunt: borgingsplan- en risicobeoordeling-generatie uit jurisdictie-templates, borgingsmomenten die via bevindingen worden afgevinkt, en een dossier-checklist die de cirkel rondmaakt tot de gereedmelding."
"26","Ops & digital","Waarom een audit trail het verschil maakt tussen een aanvaard en een afgewezen opleverdossier","audit trail kwaliteitsborging","bewijslast wkb; activity log bouwproject; traceerbaarheid bevindingen; dossier bevoegd gezag bewijs","MoFu","Thought-leadership","Kwaliteitsborger","NL","N","Bij oplevering moet de kwaliteitsborger kunnen aantonen dát en wanneer een risico is afgedekt; een dossier zonder traceerbare geschiedenis van wie wat wanneer wijzigde is kwetsbaar bij toetsing door het bevoegd gezag. BimDossier legt elke wijziging vast in een audit log / activity feed met field-level historie en koppelt de resolutie-lifecycle van bevindingen aan het bewijs, zodat de verklaring kwaliteitsborger onderbouwd is. Specifieke feature: audit log/activity feed + findings resolution lifecycle + verklaring kwaliteitsborger PDF."
"27","openBIM literacy","Classification Systems Compared: NL/SfB vs Uniclass and Why Your IFC Models Need One","NL/SfB vs Uniclass classification","IFC classification system; NL-SfB classification; Uniclass BIM; BIM coding system explained","ToFu","Comparison","BIM-manager","EN","N","Without a consistent classification code on every element, teams cannot reliably filter, quantify or compliance-check a model, and Dutch projects in particular wrestle with NL/SfB versus international Uniclass. This article compares the two systems and explains how classification rides inside IFC. BimDossier leans on this structure: its processing pipeline already classifies model content to drive features like discipline-aware floor-plan generation, and the more disciplined the IFC classification, the more precisely its BBL/Wkb rule packs can target the right elements during an automated compliance check."
"28","Field & snagging","Inspectie bouw met pass/fail-verdicten: hoe je checklist en model aan elkaar knoopt","inspectie bouw checklist","pass fail inspectie; inspectie verdict bouw; checklist kwaliteitscontrole; controle bouwwerk","MoFu","How-to","Kwaliteitsborger","NL","N","Inspecties op de bouw eindigen vaak in een goed/afgekeurd-oordeel dat nergens terugkomt in het dossier, waardoor afgekeurde punten niet aantoonbaar zijn opgevolgd. BimDossier combineert de dossier-readiness checklist (template per gebouwtype/jurisdictie) met findings die een resolutielifecycle doorlopen, zodat een afkeur pas verdwijnt als het gebrek aantoonbaar is opgelost. De %-completion gating maakt zichtbaar of een inspectieronde echt is afgerond voordat je verder bouwt."
"29","BIM for QA","Borgingsmomenten koppelen aan modelelementen: model-based kwaliteitsborging onder de Wkb","bim kwaliteitsborging","borgingsmoment koppelen model; borgingsplan ifc; risicobeoordeling modelelement; model-based borging","MoFu","Educational","Kwaliteitsborger","NL","N","De uitdaging: een borgingsplan en risicobeoordeling staan los van de werkelijke geometrie, waardoor de kwaliteitsborger handmatig moet vertalen welk constructie- of brandveiligheidsrisico bij welk bouwdeel hoort. BimDossier genereert borgingsplan en risicobeoordeling uit jurisdictie-templates en laat checklistitems verwijzen naar een IFC-element (linked_element_global_id), zodat een borgingsmoment direct naar het juiste modeldeel wijst. Zo wordt het borgingsplan een modelgekoppelde inspectieroute in plaats van een losse tekstlijst."
"30","BCF collaboration","Issue Tracking in openBIM: How BCF, IFC and IDS Fit Together for Validated, Model-Based Quality","openbim issue tracking bcf ifc ids","ids information delivery specification; openbim quality workflow; ifc model validation issues; buildingsmart openbim stack","MoFu","Educational","BIM-manager","EN","Y","Teams adopt openBIM piecemeal and can't see how IFC, BCF and IDS combine into one quality loop, leaving model issues disconnected from validation. This post maps the stack: IFC carries geometry/data, IDS defines requirements, BCF carries the issues. BimDossier sits on IFC with findings pinned to elements and an automated BBL/Wkb compliance engine that returns violations per rule, showing how model-based issues become validated, dossier-ready quality records rather than scattered comments."
"31","Ops & digital","RASCI in de Wkb: wie is verantwoordelijk voor het borgingsplan, de borgingsmomenten en de gereedmelding?","rollen verantwoordelijkheden wkb","rasci bouwproject; taken kwaliteitsborger aannemer; verantwoordelijkheid borgingsplan; rollen kwaliteitsborging","ToFu","Educational","Kwaliteitsborger","NL","N","De Wkb verschuift verantwoordelijkheden tussen aannemer, kwaliteitsborger en opdrachtgever, maar zonder een duidelijke RASCI-verdeling blijven borgingsmomenten en de gereedmelding tussen wal en schip vallen. BimDossier verankert die rolverdeling met rolgebaseerde toegang (editor/viewer/inspector) en wijst bevindingen toe aan een concrete eigenaar, terwijl het borgingsplan en de risicobeoordeling uit jurisdictie-templates worden gegenereerd zodat ieders taken vastliggen. Specifieke feature: role-based access (inspector-rol) + borgingsplan/risicobeoordeling-generatie + findings-toewijzing."
"32","PDF<->IFC docs","Hoe verbind je een markup op een PDF met het juiste bouwdeel in je IFC-model?","markup koppelen aan ifc element","pdf markup naar 3d model; tekening annotatie bim; bouwdeel global_id koppelen","MoFu","How-to","Aannemer","NL","Y","Een aannemer prikt dagelijks opmerkingen op tekeningen, maar de stap van 'rode pijl op PDF' naar 'dit specifieke kozijn met dit global_id in het model' ontbreekt, waardoor opvolging en bewijslast rammelen. Vandaag legt BimDossier die koppeling via finding pins die aan het IFC-element zijn verankerd in de 3D-viewer, inclusief storey-isolatie en sectievlakken om het juiste deel te vinden. De auto-resolutie van een 2D-PDF-markup naar datzelfde element is de fusie-feature die we als visie bouwen."
"33","Wkb filings","Welk Wkb-instrument kies je? TloKB, KiK en de rol van de instrumentaanbieder uitgelegd","wkb instrument kiezen","instrumentaanbieder wkb; toegelaten instrument kwaliteitsborging; kik tlokb","ToFu","Educational","Aannemer","NL","N","Voor elk gevolgklasse-1 project werk je met een toegelaten Wkb-instrument en een instrumentaanbieder, maar weinig aannemers weten welk instrument bij hun bouwwerk past. Deze gids legt de instrumenten en de rol van de instrumentaanbieder uit. BimDossier sluit hierop aan: borgingsplan, risicobeoordeling en dossier-checklist worden per jurisdictie/framework opgebouwd, zodat het instrumentkader meeloopt met je project. Feature: borgingsplan-generatie + jurisdictie-rulepacks."
"34","Quantity takeoff","Hoeveelheden uit IFC halen: waarom je IfcElementQuantity (Qto) nodig hebt en hoe je het controleert","hoeveelheden uit ifc","ifcelementquantity; qto property set; hoeveelheden uittrekken ifc; base quantities ifc","MoFu","Educational","Werkvoorbereider","NL","Y","Werkvoorbereiders willen lengtes, oppervlakten en volumes rechtstreeks uit het IFC-model trekken, maar weten niet dat dat alleen betrouwbaar werkt als de exporteur Qto_-base-quantities heeft meegegeven (IfcQuantityLength/Area/Volume/Count). BimDossier leest deze IfcElementQuantity-sets per element uit tijdens de IFC-extractie en toont ze element-voor-element in het eigenschappenpaneel (Properties/PropertySetGroup) naast het 3D-model, zodat je per wand of vloer direct ziet welke hoeveelheid in het model zit en of die ontbreekt. De feature die dit doet is de IFC-extractiepijplijn plus het properties-inspectorpaneel in de 3D-viewer."
"35","BCF collaboration","How to Run a Model Coordination Meeting Where Every Issue Has an Owner and a Deadline","bim coordination meeting workflow","model review meeting agenda; assign bim issues; coordination issue tracking; bim coordinator checklist","MoFu","How-to","BIM-coordinator","EN","N","Coordination meetings generate decisions that evaporate by the next session because actions land in meeting minutes nobody reopens. This how-to runs a meeting in BimDossier: review the federated model live, pin each agreed issue to its IFC element, set severity and assignee on the spot, and let the finding lifecycle and activity feed/audit log track follow-through. No separate minutes, no orphaned action items."
"36","Field & snagging","Opleverpunten registreren én koppelen aan het BIM-model: zo voorkom je dubbel werk op de bouwplaats","opleverpunten","opleverpunten app; bevindingen koppelen IFC; snag aan bouwelement koppelen; digitaal opleverpunt","MoFu","Problem->Solution","Uitvoerder","NL","N","Uitvoerders registreren opleverpunten nu los in een snagging-app, waarna niemand zeker weet welk concreet bouwelement het betreft en het punt bij oplevering opnieuw moet worden uitgezocht. BimDossier lost dit op door elk opleverpunt vast te pinnen aan de IFC-element global_id in de 3D-viewer, zodat severity, toewijzing en fotobewijs aan een eenduidig element hangen. De feature finding pins anchored to an IFC element maakt een opleverpunt traceerbaar in plaats van een losse tekstregel op een tekening."
"37","BBL technical","Trappen, plafondhoogtes en deurmaten: de bruikbaarheidseisen van het BBL geometrisch toetsen","bbl bruikbaarheidseisen","trap eisen bouwbesluit; vrije hoogte verblijfsruimte; deurbreedte eisen; vloeroppervlak eisen bbl","MoFu","How-to","Werkvoorbereider","NL","N","Bruikbaarheidseisen zoals trapafmetingen, vrije doorloophoogtes, deurmaten en minimale vloeroppervlakken zijn puur geometrisch maar worden zelden integraal nagemeten op de uitvoeringstekeningen. BimDossier toetst deze maten (trap- en trappenhuisafmetingen, doorloophoogte, deurafmetingen, vloeroppervlakken) automatisch tegen het IFC-model met de compliance-engine. De werkvoorbereider krijgt een lijst van elementen die buiten de BBL-marges vallen voordat er gebouwd wordt."
"38","openBIM literacy","What Is buildingSMART? The Standards Body Behind IFC, BCF and IDS Explained for Construction Teams","what is buildingSMART","buildingSMART standards; buildingSMART IFC BCF; openBIM standards body; buildingSMART certification","ToFu","Educational","Architect","EN","N","Architects and engineers see IFC, BCF and IDS thrown around but do not know where the standards come from or why trusting a neutral body matters when choosing software. This article explains buildingSMART's role as the steward of openBIM standards and what 'IFC-compliant' actually guarantees. It positions BimDossier as a buildingSMART-aligned platform: native IFC ingestion in the 3D viewer today and BCF interoperability on the roadmap, so teams adopting it stay inside the standards ecosystem rather than a proprietary island, keeping their models and issues exchangeable with any compliant tool."
"39","Dossier & handover","Certificatenbeheer in de bouw: nooit meer een verlopen certificaat bij oplevering","certificaten beheer bouw","certificatenbeheer Wkb; certificaat verloopdatum bouw; certificaten opleverdossier; KOMO certificaat beheer","MoFu","Problem->Solution","Aannemer","NL","N","Product- en proces­certificaten van onderaannemers verlopen vaak ongemerkt en blijken bij de oplevering ongeldig, waardoor het opleverdossier niet sluitend is. Dit artikel beschrijft het beheersprobleem rond certificaten en laat zien hoe BimDossier dit oplost met certificatenbeheer inclusief verloopdatum-tracking en automatische verlengingsherinneringen, zodat elk certificaat geldig in het dossier landt."
"40","BIM for QA","Ed Controls vs. model-based kwaliteitsborging: waarom snagging zonder 3D-IFC-viewer je Wkb-dossier niet compleet maakt","ed controls alternatief","snagging software met ifc viewer; bim kwaliteitsborging vs snagging; wkb dossier software vergelijking; 3d viewer bevindingen","BoFu","Comparison","Aannemer","NL","N","De uitdaging: klassieke snagging-tools pinnen bevindingen op een 2D-tekening en regelen oplevering, maar missen een 3D-IFC-viewer en een geautomatiseerde compliance-toets, waardoor de stap van bevinding naar Wkb-dossier handwerk blijft. BimDossier combineert federatieve 3D-IFC-viewer, bevindingen verankerd aan modelelementen én de automatische BBL/Wkb-compliance-engine in één platform. Eerlijk gekaderd: de tekening-gepinde snag die auto-resolved naar het IFC-element is roadmap-visie, maar het modelgekoppelde dossier en de compliance-toets draaien vandaag al."
