ID,Phase,Week,Feature,Description,Priority,Effort (days),Dependencies,Acceptance Criteria,Status,Evidence / Notes,Primary User,Role Detail,Aannemer Priority,Contractor-First Phase,Aannemer Usage
14,Wkb Planning,3,Risicobeoordeling UI with Bbl templates,"Form with the 5 Bbl categories as collapsible sections. Each section pre-populated with 3-5 common risks for Gk1 (e.g., under brandveiligheid: 'compartimentering tussen woningen', 'rookwerendheid trappenhuis', 'brandbare gevelmaterialen'). User picks from suggestions or adds custom. Include an optional free-text Bbl article reference field per risk for forward-compatibility with the future rule library. The templates encode domain expertise from your kwaliteitsborger advisor — this is where domain partnership pays off.",P0,1.5,13,User adds risks across all 5 categories from templates or custom; saved risks render correctly; templates editable by admin.,Hidden (Aannemer Mode),"[AANNEMER PIVOT] Hidden — KB-only feature. Tab removed from RightColumnTabs. Re-add post-MVP when KB joins. || Original: RiskAssessmentSection.tsx with 5 Bbl category collapsible sections, useBblRiskCatalog hook from GET /jurisdictions. NL_BBL_RISK_TEMPLATES in jurisdictions/nl.py: 16 templates across 5 categories (structural_safety 3, fire_safety 4, health 3, energy_efficiency 3, usability 3), all bilingual nl+en. Template adoption dedup by title. RiskCreate/RiskUpdate/RiskDelete mutations. Custom risk freehand entry supported.",Kwaliteitsborger,KB fills in risks using Bbl templates; Aannemer has no role here,KB-only,KB Layer,Aannemer has no role in risk template UI.
15,Wkb Planning,3,Borgingsplan data model,"A Borgingsplan is tied to a project (1:1 in MVP). It has version, status (draft/published/superseded), creation/publication timestamps, and links to the kwaliteitsborger who created it. Contains many Borgingsmomenten. Once published, edits create a new version (audit trail). Plan structure: phase → moment → checklist items. Schema must support polymorphic checklist items (text item, document-required item, photo-required item, IFC-element-linked item for Stage 2).",P0,1,13,Schema in place; APIs return structured plan data; plan versioning works; superseded versions retained.,Done,"models/borgingsplan.py (BorgingsplanStatus: draft/published/superseded, version_number, created_by_user_id), models/borgingsmoment.py (BorgingsmomentPhase/Status enums, sequence_in_phase, planned/actual date), models/checklist_item.py (ChecklistItemType, EvidenceType, pass_fail_criteria, linked_element_global_id for Stage 2), models/checklist_item_result.py (InspectionVerdict, photo_ids JSONB, voice_note_id). Migration c8e2a4b6f9d3. Denormalized project_id on moments + items for RLS. Unique partial index enforces one active plan per project.",Kwaliteitsborger,KB creates the borgingsplan; Aannemer views the published version,KB-only,KB Layer,Aannemer views published borgingsplan (read-only). Does not create.
16,Wkb Planning,3,Borgingsmoment with checklist items,"Each moment represents a planned inspection event. Fields: phase (fundering, ruwbouw, dak, afbouw, oplevering, overig), planned date, actual date (null until inspection done), responsible kwaliteitsborger, status, notes. Each moment owns 5-20 checklist items. Each item: description, required evidence type (photo / certificate / measurement / document / signature), Bbl reference (optional), pass/fail criteria description. Order matters — items must render in the sequence the kwaliteitsborger walks them.",P0,1.5,15,Moments visible in chronological order on project page; checklist items render in defined sequence; each item shows its required evidence type.,Done,"routers/borgingsplan.py (954 lines) — full CRUD for plans, moments, checklist items. Generate from NL_BORGINGSMOMENT_TEMPLATES (8 templates with checklists), clone, reorder (sequence_in_phase). Permission-gated via require_permission on Resource.assurance_plan. Eager loading via selectinload chains. Tests in test_borgingsplan.py. Portal: BorgingsplanSection.tsx renders moments grouped by phase with checklist items in sequence.",Kwaliteitsborger,KB defines when and what to inspect; Aannemer sees the schedule,KB-only,KB Layer,Aannemer sees borgingsmoment schedule (read-only) to know when KB visits.
17,Wkb Planning,3,Borgingsplan UI with phase templates,"User picks a project type and the system generates a default borgingsplan: ~6-10 borgingsmomenten across the 5 phases, each with templated checklist items derived from the risicobeoordeling. User can add, remove, reorder, and customize freely. Show a Gantt-style timeline view AND a list view — kwaliteitsborgers will use both. Provide a 'Reset to template' option for users who customize too aggressively and want to start over.",P0,1,16,"User generates plan from template, edits it, saves; both timeline and list views work; reset-to-template restores defaults without data loss elsewhere.",Hidden (Aannemer Mode),"[AANNEMER PIVOT] Hidden — KB-only feature. Borgingsplan tab removed from project detail. Re-add post-MVP when KB joins. || Original: BorgingsplanSection.tsx with phase timeline, useBorgingsplanCatalog hook, generate/reset mutations (useGenerateBorgingsplan), version history (useBorgingsplanVersions), checklist editing per moment. borgingsmoment_phase_labels from jurisdictions/nl.py drive Dutch/English phase names. risk_category_to_phases mapping auto-generates Beheersmaatregel checklist items from the risicobeoordeling.",Kwaliteitsborger,KB generates and customizes the plan from templates,KB-only,KB Layer,Aannemer has no role in plan template generation.
18,Mobile Inspection,4,PWA setup (browser-based mobile app),"Strategic choice: build a Progressive Web App, NOT native iOS/Android. PWA = a website that behaves like a native app: installable on home screen, full-screen launch, offline-capable, uses camera/GPS, push notifications. One codebase serves desktop (planning, dossiers) and mobile (site inspections). Native apps would mean 3x the work, App Store delays, Apple's 30% subscription cut, and slow updates — unacceptable for a compliance tool that must stay current with law changes. Configure: service worker via Workbox, web app manifest with proper icons (Android needs maskable, iOS needs apple-touch-icon meta tags), install prompt logic, offline shell caching. Test installation on iOS Safari and Android Chrome — both have quirks but both work. The PWA must launch full-screen from home screen with a splash screen, not browser chrome. This single setup is the difference between 'a website inspectors avoid' and 'an app inspectors actually use on site'.",P0,1,5,PWA passes Lighthouse install criteria; installs on both iOS Safari and Android Chrome; launches full-screen from home screen with splash screen; offline shell loads when no network.,Mostly Done,"Scaffolding + install-prompt UI: manifest.ts (lang=nl, standalone), public/sw.js (offline shell + runtime cache), ServiceWorkerRegistrar, icon.svg + icon-maskable.svg, appleWebApp metadata + theme color. PwaInstallPrompt component (apps/portal/src/components/PwaInstallPrompt.tsx) listens to beforeinstallprompt on Chrome/Edge (dismissable, 14-day local-storage TTL), shows iOS-Safari share-icon hint after 3s idle for browsers that never fire the event, and mounts globally from [locale]/layout.tsx. Bilingual nl/en strings under pwaInstall in messages/{en,nl}.json. Tests: PwaInstallPrompt.test.tsx (4 cases: hidden by default, install flow, dismiss persistence, recent-dismissal honored). REMAINING: 192x192/512x512 PNG icons for strict Lighthouse coverage, field-test on iOS Safari + Android Chrome.",Kwaliteitsborger (primary) · Aannemer (secondary),KB uses PWA for site inspections; Aannemer uses it for finding resolution on-site,P1-AN,Phase 2,Aannemer uses PWA for uploading resolution photos on-site and viewing documents on mobile.
19,Mobile Inspection,4,Mobile inspection screen UI (responsive web),"The most important screen in the product. Built as responsive web inside the same Next.js/SvelteKit app — no separate native codebase. Inspector sees the assigned moment, taps through checklist items one at a time. Big touch targets (min 48px), high-contrast text (sun glare on construction sites is real), gloves-friendly (no precise hover/tap targets, no swipes that conflict with browser gestures). Each item screen shows: item description, evidence requirement, big pass/fail/n.v.t. buttons, photo button, voice-note button, free-text note. Bottom sticky bar shows progress (e.g. '7 of 12'). Uses media queries to adapt — same React/Svelte components serve a kwaliteitsborger on a desktop reviewing dossiers AND an inspector on a phone. Field-test with a real kwaliteitsborger; this is where every minute of UX investment pays back tenfold.",P0,2,"16,18",Usable on a 5-inch screen with one hand; passes WCAG contrast checks; tested on actual construction site with sun glare and gloves; same component renders cleanly on desktop too.,Mostly Done,"InspectionScreen.tsx + ItemCard.tsx + VerdictButtons.tsx + NoteField.tsx + ProgressBar + prev/next navigation. Route at /(inspection)/projects/[id]/inspect/[momentId]. Flexbox/Tailwind responsive layout works on mobile. REMAINING: explicit mobile-first breakpoints, min 48px touch targets, gloves-friendly sizing (no precise tap targets), landscape handling, high-contrast mode for sun glare, field-test on construction site with real kwaliteitsborger.",Kwaliteitsborger,KB walks the site tapping through checklist items — this is their core screen,KB-only,KB Layer,Inspection screen is KB's workflow. Aannemer doesn't do inspections.
20,Mobile Inspection,4,Photo capture with EXIF + timestamp,Capture photo via browser MediaDevices API (or `<input type=file capture=environment>` for mobile fallback). Preserve original EXIF data on upload — DO NOT strip it. Server attaches its own timestamp at upload time (do not trust client clock; phones can be off). Store the photo and metadata in S3 with an immutable key. Compress client-side with imageCompression library to ~1-2 MB before upload to save bandwidth on bad site connections. The server-side timestamp is critical evidence for the cryptographic chain you'll add in v2.,P0,1,19,Uploaded photo retains original EXIF; server timestamp recorded separately; file size reasonable; photo viewable in gallery.,Done,"capture_metadata JSONB column on Attachment model (merged into 0001_initial_tenant migration). Client-side EXIF extraction via exifr library (apps/portal/src/lib/upload/captureMetadata.ts): extractExif() picks ~15 EXIF tags (make, model, date_time_original, GPS, orientation, dimensions, exposure settings). Server stamps server_received_at on the metadata dict before persisting — client clock is informational only. Both upload paths wired: authenticated (AttachmentsTab.tsx) and public capture link (CaptureUploadPage.tsx). Pydantic schemas: GeolocationData, ExifData, CaptureMetadataInput in schemas/attachment.py. Zod schema updated in portal. 7 new tests (5 in test_attachments.py, 2 in test_capture_links.py). DEFERRED: client-side image compression (breaks SHA-256 dedup — separate PR); server-side EXIF extraction (would need pillow dep).",Kwaliteitsborger (primary) · Aannemer (secondary),KB captures inspection photos; Aannemer captures resolution evidence photos,P1-AN,Phase 2,Aannemer captures resolution evidence photos with EXIF + timestamp when fixing findings on site.
21,Mobile Inspection,4,Geolocation tagging,"Use browser Geolocation API at photo capture time. Store lat/lng/accuracy on the inspection record. Handle three cases: (1) permission granted and accurate — store coords, (2) permission granted but low accuracy (>50m) — store with warning flag, (3) permission denied — store nothing, mark inspection as 'no geolocation'. Show a small map preview on inspection detail later. Geolocation strengthens the evidence chain ('this photo was taken at the project site') and helps spot-check fraud, but never block inspection if denied — sites without GPS are common.",P0,0.5,20,Location captured when permission granted with accuracy stored; graceful fallback when denied; never blocks inspection completion.,Done,"requestGeolocation() in apps/portal/src/lib/upload/captureMetadata.ts: wraps navigator.geolocation.getCurrentPosition with enableHighAccuracy, returns discriminated union (granted/denied/unavailable). Sets low_accuracy: true when accuracy > 50m. Requested once at page load, cached in React ref — never blocks upload. All three cases handled: (1) granted+accurate → lat/lng/accuracy stored in capture_metadata.geolocation, (2) granted+low accuracy → stored with low_accuracy flag, (3) denied/unavailable → geolocation: null, upload proceeds. Wired into both CaptureUploadPage.tsx and AttachmentsTab.tsx. GeolocationData Pydantic model with lat/lng/accuracy/altitude/altitude_accuracy/low_accuracy fields. Bilingual i18n strings (geolocationRequesting/Granted/Denied) in en.json + nl.json. DEFERRED: map preview on attachment detail view.",Kwaliteitsborger,GPS tags KB's inspection location as evidence,P1-AN,Phase 2,Geotag on aannemer's resolution photos strengthens the evidence chain.
22,Mobile Inspection,4,Pass / fail / n.v.t. + notes,"Per checklist item: three big buttons (pass/fail/n.v.t.), free-text note field, optional voice-to-text via browser SpeechRecognition API (Chrome-only on Android; Safari has limited support — degrade gracefully). 'n.v.t.' (niet van toepassing = not applicable) requires a reason note (otherwise it becomes a loophole for skipping checks). 'fail' auto-flags the item to become a bevinding in Week 5. Inspector should mark a status and add a note in under 10 seconds per item; instrument and time this in field testing.",P0,1,19,Inspector marks status and adds note in <10 seconds per item; n.v.t. requires reason; fail auto-creates bevinding draft.,Done,"InspectionVerdict enum (pass_verdict/fail/not_applicable) in models/checklist_item_result.py. ChecklistItemResult model with verdict+note+photo_ids(JSONB)+voice_note_id+inspector_user_id+inspected_at. routers/inspection.py endpoint POST /borgingsmomenten/{id}/checklist-items/{id}/result with NVT-requires-note validation. Portal: VerdictButtons.tsx (3 big buttons), NoteField.tsx, ItemCard.tsx with save flow. schemas/inspection.py (ResultCreate, ChecklistItemResultRead, InspectionSummaryRead). REMAINING: fail auto-creates bevinding draft (gated on #25 Finding model).",Kwaliteitsborger,KB marks each checklist item pass/fail/n.v.t. during inspection,KB-only,KB Layer,Pass/fail/n.v.t. is KB's action during inspection. Aannemer doesn't mark these.
23,Offline & Findings,5,Offline queue (IndexedDB),"Cache the active borgingsplan, checklist items, and any reference docs locally in IndexedDB on first load. When inspector goes offline, queue inspection actions (status changes, notes, photos as base64 or Blob references) in a separate IndexedDB store with a monotonic sequence number. Show a clear 'offline mode' indicator. The queue must survive browser closes and device reboots. Use Dexie.js or idb-keyval to avoid raw IndexedDB pain. Test in airplane mode AND with intermittent connectivity — the harder case.",P0,2,"19,20",Inspector completes a full inspection in airplane mode; data persists across browser close; intermittent connectivity does not corrupt queue.,Not Started,,Kwaliteitsborger,KB works offline on construction sites with bad signal,P2-Deferred,Last,Offline inspection is KB's need — deferred to end of backlog.,Offline inspection is KB's need. Aannemer mostly works from office/car with connectivity.
24,Offline & Findings,5,Sync logic when online,"When network returns, upload queued items in sequence order. Photos upload first (large, slow), then metadata. Show progress indicator and per-item sync status. Handle conflict resolution: if the same item was edited online by another user (rare in MVP, common in v2), server data wins and a conflict warning is shown. Retry with exponential backoff on transient failures. Failed items stay queued; never silently drop data. Log sync events to audit log.",P0,1.5,23,All queued items reach server in order; UI shows sync progress; transient failures retry; permanent failures surface clearly to user.,Not Started,,Kwaliteitsborger,KB's offline data syncs when back online,P2-Deferred,Last,Sync logic depends on #23 — deferred to end of backlog.,Sync logic primarily serves KB's offline inspections.
25,Offline & Findings,5,Bevinding (finding) creation,"When a checklist item is marked 'fail', a draft bevinding is created automatically with: linked checklist item, project, severity (defaults to 'medium', user can change), description prepopulated from the inspection note, photo evidence linked. User can promote draft to formal finding by adding required deadline and assignee. Findings are first-class objects with their own lifecycle, not just sub-records of inspections — this matters because they must be tracked across multiple inspections (a fire-safety issue might span fundering and ruwbouw phases).",P0,1,22,Failed checklist item creates draft bevinding; draft is editable; promotion to formal finding requires deadline and assignee; finding appears in project's findings tab.,Not Started,"NOTE: portal already has IssuesTab + IssueDetailModal driven by arbiter results — that's compliance-rule violations, not human inspection findings. Different domain object.",Kwaliteitsborger (creates) → Aannemer (receives),KB's failed check auto-creates a finding; Aannemer is notified and must respond,P0-AN,Phase 2,"REFRAMED for aannemer: aannemer creates findings manually from KB's email/PDF inspection report. When KB joins later, findings auto-create from failed checks instead."
26,Offline & Findings,5,Bevinding status workflow,"Status state machine: draft → open → in_behandeling → opgelost → geverifieerd. Only specific role transitions are allowed (e.g., only kwaliteitsborger can verify; aannemer marks as opgelost; kwaliteitsborger then geverifieerd). Each transition writes to the audit log with actor, timestamp, and optional comment. Block reverting status (e.g., geverifieerd cannot go back to open) — this protects evidence integrity. Show finding history as a timeline.",P0,0.5,25,User changes status only along legal transitions; audit log records every change; history timeline visible on finding detail; unauthorized transitions return 403.,Done,"WS3 shipped. routers/finding.py::update_finding enforces a legal transition map _FINDING_TRANSITIONS: draft→{open}, open→{in_progress,resolved}, in_progress→{resolved,open}, resolved→{verified,in_progress}, verified→{} (terminal, no revert). Illegal jumps return 422 FINDING_ILLEGAL_TRANSITION; same-status writes are no-ops; the draft→open promotion still requires deadline+assignee. Every transition is audit-logged (finding.resolved / finding.verified / finding.promoted / finding.updated) and a finding_resolved notification fires on resolve. Status timeline rendered in FindingDetailModal.tsx. Tests in test_findings.py.",Kwaliteitsborger + Aannemer,KB creates and verifies findings; Aannemer resolves them. Both drive the state machine.,P0-AN,Phase 2,Aannemer drives the resolution side: open → in_behandeling → opgelost. KB verifies (when in system).
27,Offline & Findings,5,Resolution evidence upload,"When a finding is marked 'opgelost' (resolved), the user must attach evidence: a photo, a document (e.g., remediation certificate), or a written explanation referencing other evidence. Cannot mark as resolved without evidence. The kwaliteitsborger sees this evidence when transitioning to 'geverifieerd'. This is the legal core of the system — every claim of resolution must have supporting proof retained for 10 years.",P0,0.5,26,Cannot transition to opgelost without evidence; evidence is permanently linked to the finding; kwaliteitsborger reviews evidence before verification.,Done,"WS3 shipped. Finding.resolution_note (Text) + resolution_evidence_ids (JSONB) added via migration 0003_tenant_finding_resolution. update_finding evidence gate: a transition into resolved requires a non-empty resolution_note AND at least one resolution_evidence_ids, else 422 FINDING_RESOLVE_REQUIRES_EVIDENCE — no silent close. Verification is inspector-only (403 FINDING_VERIFY_REQUIRES_INSPECTOR), so the kwaliteitsborger reviews the evidence before geverifieerd. Portal: FindingDetailModal resolution dialog (note + evidence picker reusing FindingPhotos) and an inspector-only Verifiëren button; bilingual resolution.* / verify.* keys in en.json + nl.json. Tests in test_findings.py.",Aannemer,Aannemer uploads resolution evidence (photo/cert) to close a finding; KB reviews it,P0-AN,Phase 2,"Aannemer uploads resolution evidence (photo, certificate, written explanation) to close findings."
28,Deadlines,6,Deadline tracker logic,"Compute three meldingen deadlines per project: bouwmelding = planned_start_date - 4 weeks, informatieplicht = planned_start_date - 2 working days, gereedmelding = oplevering_date + 10 working days. Working days exclude weekends and Dutch national holidays (use a holiday calendar library). Recompute when project dates change. Store as separate deadline records with status (upcoming/met/missed/n.v.t.) so they can be queried independently. The kwaliteitsborger and aannemer both see deadlines on the project dashboard, but the contractor is the one legally responsible for filing.",P0,1,9,Deadlines correctly computed including working-day logic; updates when project dates change; displayed prominently on project page.,Done,"deadlines/compute.py (bouwmelding T-28d, informatieplicht T-2wd, gereedmelding T+10wd), deadlines/working_days.py (Dutch holiday calendar), models/deadline.py (DeadlineStatus: pending/met/not_applicable), deadlines/settings.py. System-managed upsert recomputes on date changes. Stored as separate Deadline records per project.",Kwaliteitsborger + Aannemer,Both see deadlines; Aannemer is legally responsible for filing meldingen,P0-AN,Phase 1,THE #1 aannemer feature. They are legally responsible for filing all 3 meldingen. Missing one = project shutdown.
